policy_id,TARGET
policy_89288,0.3234404545488808
policy_23460,0.21988657595255992
policy_43809,0.06100912228670265
policy_4590,0.14335329722558343
policy_65525,0.7718797097263278
policy_86829,0.11090333877339731
policy_7184,0.20838966447347593
policy_79862,0.16673591491098258
policy_78687,0.077811604867981
policy_46401,0.22593963552697183
policy_35767,0.35796692793458645
policy_16584,0.08203482289324875
policy_89554,0.34886429860641116
policy_49763,0.4337284062665905
policy_95522,0.3458621564362215
policy_290,0.19320716395619283
policy_10909,0.0028316630128614744
policy_16637,0.05398015955710495
policy_47833,0.04356752758917206
policy_30989,0.05053102254087559
policy_19204,0.1040859434489117
policy_68894,0.24204206700293582
policy_28455,0.11152291290102104
policy_1395,0.01134607398507506
policy_14253,0.1413654807367544
policy_55154,0.4855213608622936
policy_96941,0.014594405336781573
policy_64239,0.2115033236856401
policy_86185,0.006354886774231279
policy_40115,0.22961678489459098
policy_79475,0.03424592760336198
policy_34094,0.20445336388595473
policy_36006,0.1585478185466083
policy_52858,0.14598908564576296
policy_92289,0.5071612871975606
policy_73025,0.15995832536398613
policy_40143,0.010686920664713674
policy_20864,0.12106085078689252
policy_25677,0.041121290887383685
policy_32945,0.09008301689077103
policy_26966,0.008411899877831827
policy_33524,0.07386476899661094
policy_67300,0.023204066697508324
policy_40375,0.15412090169701456
policy_69025,0.2261653185104494
policy_42416,0.1203656602070728
policy_82735,0.32671352874633314
policy_51793,0.07939958739072558
policy_53164,0.054945711473422774
policy_22836,0.0730152773361434
policy_69395,0.14534310175729234
policy_84485,0.6592383415653269
policy_93277,0.1166237794266201
policy_14132,0.04180923012050884
policy_55179,0.4204848688320743
policy_70433,0.04780781564061666
policy_77792,0.10135878563219528
policy_12110,0.12792172300588775
policy_12627,0.024984772498921604
policy_79358,0.05059162534591113
policy_2955,0.11547356117022364
policy_13388,0.003237052056866456
policy_92879,0.06837074731473196
policy_67698,0.39789205643870773
policy_36187,0.013643737258651537
policy_24018,0.024360750360089518
policy_42597,0.11250510708505684
policy_23819,0.002699380139612837
policy_25920,0.48697007623304994
policy_6484,0.31774259676135536
policy_42072,0.15671702778883317
policy_97714,0.713860084425028
policy_503,0.03508783905545454
policy_90327,0.45948333143541603
policy_51361,0.023458857210609665
policy_33401,0.31362537663942086
policy_51313,0.1438645068999267
policy_41750,0.18660804011094112
policy_3187,0.43754049901511427
policy_61772,0.32638901275691823
policy_24435,0.1051273558168394
policy_40505,0.1700625405443669
policy_33371,0.0029743064226893418
policy_97519,0.06321356503268416
policy_5361,0.5349675693979181
policy_28073,0.010254490820229837
policy_59397,0.4948092866240898
policy_94333,0.20224428793121008
policy_33013,0.07200083649532268
policy_38194,0.20617716108572112
policy_93556,0.1357548608736607
policy_1662,0.4598015474886945
policy_28788,0.009877769230146757
policy_60605,0.03467618869328142
policy_79604,0.036270442268385106
policy_23596,0.007699710698442761
policy_70636,0.3712948562884378
policy_7964,0.030727942800517383
policy_30602,0.09240724833710087
policy_75469,0.34922211145725396
policy_1157,0.051814686055512524
policy_43747,0.42781070087172174
policy_87691,0.11712279678913647
policy_56306,0.07230543573992791
policy_63070,0.290232082067255
policy_9761,0.07595556130192793
policy_89579,0.18977753287475058
policy_99199,0.12708199241919463
policy_92064,0.3584573443894522
policy_65118,0.015531711001369831
